Country	Region	Hemisphere	HappinessScore	HDI	GDP_PerCapita	Beer_PerCapita	Spirit_PerCapita	Wine_PerCapita
Senegal	Sub-Saharan Africa	north	4.219	499	0.953	9	1	7
Tanzania	Sub-Saharan Africa	south	3.666	533	0.878	36	6	1
Benin	Sub-Saharan Africa	north	3.484	512	0.789	34	4	13
Mali	Sub-Saharan Africa	north	4.073	421	0.78	5	1	1
Comoros	Sub-Saharan Africa	south	3.956	502	0.775	1	3	1
Haiti	Latin America and Caribbean	north	4.028	496	0.735	1	326	1
Chad	Sub-Saharan Africa	north	3.763	405	0.651	15	1	1
Burkina Faso	Sub-Saharan Africa	north	3.739	420	0.614	25	7	7
Togo	Sub-Saharan Africa	north	3.303	500	0.577	36	2	19
Rep. Congo	Sub-Saharan Africa	south	4.236	612	0.498	76	1	9
Sierra Leone	Sub-Saharan Africa	north	4.635	413	0.481	25	3	2
Liberia	Sub-Saharan Africa	north	3.622	432	0.455	19	152	2
Madagascar	Sub-Saharan Africa	south	3.695	517	0.402	26	15	4
Niger	Sub-Saharan Africa	north	3.856	351	0.368	3	2	1
Malawi	Sub-Saharan Africa	south	4.156	474	0.3	8	11	1
Luxembourg	Western Europe	north	6.871	904	100.739	236	133	271
Switzerland	Western Europe	north	7.509	943	79.866	185	100	280
Norway	Western Europe	north	7.498	951	70.89	169	71	129
Ireland	Western Europe	north	6.907	934	64.1	313	118	165
Iceland	Western Europe	north	7.501	933	60.53	233	61	78
Qatar	Middle East and Northern Africa	north	6.375	855	59.324	1	42	7
United States	North America	north	7.104	922	57.589	249	158	84
Singapore	Southeastern Asia	north	6.739	930	55.243	60	12	11
Denmark	Western Europe	north	7.526	928	53.579	224	81	278
Sweden	Western Europe	north	7.291	932	51.845	152	60	186
Australia	Australia and New Zealand	south	7.313	938	49.897	261	72	212
Netherlands	Western Europe	north	7.339	928	45.638	251	88	190
Austria	Western Europe	north	7.119	906	44.731	279	75	191
Finland	Western Europe	north	7.413	918	43.433	263	133	97
Canada	North America	north	7.404	922	42.349	240	122	100
Germany	Western Europe	north	6.994	934	42.233	346	117	175
Belgium	Western Europe	north	6.929	915	41.261	295	84	212
United Kingdom	Western Europe	north	6.725	920	40.412	219	126	195
New Zealand	Australia and New Zealand	south	7.334	915	40.332	203	79	175
Japan	Eastern Asia	noth	5.921	907	38.972	77	202	16
United Arab Emirates	Middle East and Northern Africa	north	6.573	862	38.518	16	135	5
Israel	Middle East and Northern Africa	north	7.267	902	37.181	63	69	9
France	Western Europe	north	6.478	899	36.87	127	151	370
Italy	Western Europe	north	5.977	878	30.669	85	42	237
South Korea	Eastern Asia	noth	5.835	900	27.105	140	16	9
Spain	Western Europe	north	6.361	889	26.617	284	157	112
Malta	Western Europe	north	6.488	875	24.771	149	100	120
Cyprus	Western Europe	north	5.546	867	23.541	192	154	113
Bahrain	Middle East and Northern Africa	north	6.218	846	22.561	42	63	7
Slovenia	Central and Eastern Europe	north	5.768	894	21.65	270	51	276
Portugal	Western Europe	north	5.123	845	19.872	194	67	339
Czech Republic	Central and Eastern Europe	north	6.596	885	18.484	361	170	134
Greece	Western Europe	north	5.033	868	17.882	133	112	218
Estonia	Central and Eastern Europe	north	5.517	868	17.737	224	194	59
Slovakia	Central and Eastern Europe	north	6.078	853	16.53	196	293	116
Trinidad and Tobago	Latin America and Caribbean	north	6.168	785	16.352	197	156	7
Venezuela	Latin America and Caribbean	north	6.084	766	15.692	333	100	3
Uruguay	Latin America and Caribbean	south	6.545	802	15.298	115	35	220
Lithuania	Central and Eastern Europe	north	5.813	855	14.913	343	244	56
Panama	Latin America and Caribbean	north	6.701	785	14.333	285	104	18
